announcedate,keydeveventtypeid,headline
2002-02-01,80,BHP Billiton signed an agreement to join with Anglo American Plc and Glencore International to acquire all of the ownership interests in Carbones Del Cerrejon Llc
2002-02-01,80,BHP Group (ASX:BHP) signed an agreement to join with Anglo American Plc and Glencore International to acquire all of the ownership interests in Carbones Del Cerrejon Llc
2002-02-04,21,"BHP Billiton to Cut 1,000 Jobs"
2002-02-05,83,Announced Private Placement Transaction - Target: Corriente Resources Inc.; Investor(s): BHP Billiton Ltd.; Transaction Size: $2 mm
2002-02-08,81,PNG Sustainable Development Program Limited acquired 52% stake in Ok Tedi Mining Limited from BHP Billiton Limited (ASX:BHP).
2002-02-14,28,"BHP Billiton Announces results for half year ended December 31, 2001"
2002-02-14,21,BHP Billiton to Close Tower Colliery
2002-03-05,23,BHP Billiton to Proceed With Zamzama Field Development
2002-03-20,16,BHP Billiton Ltd. Appoints Mark Lidiard as Vice President of Investor relations
2002-04-11,80,Toll Holdings Ltd. signed an agreement to acquire BHP Stevedoring Pty Ltd. from BHP Billiton Ltd.
2002-04-11,80,Toll Holdings Ltd. signed an agreement to acquire BHP Transport and Logistics (New Zealand) Ltd. from BHP Billiton Ltd.
2002-05-01,81,"A consortium comprising of BHP Billiton, Anglo American plc and Glencore International AG completed the acquisition of Carbones Del Cerrejon Llc from Exxon Mobil."
2002-05-01,28,BHP Billiton Announces Third Quarter Fiscal 2002 Financial Results
2002-05-01,81,"A consortium comprising of BHP Group (ASX:BHP), Anglo American plc and Glencore International AG completed the acquisition of Carbones Del Cerrejon Llc from Exxon Mobil."
2002-05-02,3,BHP Billiton Limited is considering acquisitions.
2002-05-02,101,Officer/Director Change(s) announcement for BHP Billiton Limited
2002-05-02,16,Officer/Director Change(s) announcement for BHP Billiton Limited
2002-05-02,3,BHP Billiton Limited is considering acquisitions.
2002-05-02,3,BHP Billiton Limited is considering acquisitions.
2002-05-02,3,BHP Billiton Limited is considering acquisitions.
2002-05-08,81,Toll Holdings Ltd. completed the acquisition of BHP Stevedoring Pty Ltd. from BHP Billiton Ltd.
2002-05-08,81,Toll Holdings Ltd. completed the acquisition of BHP Transport and Logistics (New Zealand) Ltd. from BHP Billiton Ltd.
2002-05-16,101,BHP Billiton announces Changes to Senior management and Board of Directors
2002-05-16,16,BHP Billiton announces Changes to Senior management and Board of Directors
2002-05-16,150,BHP Billiton Ltd. Appoints KPMG and PricewaterhouseCoopers as Joint Auditors
2002-05-17,23,BHP Billiton Approves Minerva Gas Development in Victoria
2002-05-23,83,Announced Private Placement Transaction - Target: Corriente Resources Inc.; Investor(s): BHP Billiton Ltd.; Transaction Size: $1 mm
2002-06-14,44,Bhp Billiton Ltd. Announced A 24-day Strike At Its Western Port Factory Ended
2002-06-19,93,"BHP Billiton Ltd. has filed a Shelf Registration in the amount of €1,542.58 million."
2002-06-19,93,BHP Group Limited has filed a Base Prospectus in the amount of €1.54258 billion.
2002-06-19,93,BHP Billiton Limited has filed a Base Prospectus in the amount of €1.54258 billion.
2002-06-19,93,"BHP Billiton Ltd. has filed a Shelf Registration in the amount of €1,542.58 million."
2002-06-19,93,BHP Group Limited has filed a Base Prospectus in the amount of €1.54258 billion.
2002-06-19,93,BHP Group has filed a Base Prospectus in the amount of €1.54258 billion.
2002-06-19,93,BHP Group Limited has filed a Base Prospectus in the amount of €1.54258 billion.
2002-06-19,93,BHP Group Limited has filed a Base Prospectus in the amount of €1.54258 billion.
2002-06-19,93,BHP Group has filed a Base Prospectus in the amount of €1.54258 billion.
2002-06-19,93,BHP Group Limited has filed a Base Prospectus in the amount of €1.54258 billion.
2002-06-19,93,BHP Billiton Limited has filed a Base Prospectus in the amount of €1.54258 billion.
2002-06-19,93,BHP Group has filed a Base Prospectus in the amount of €1.54258 billion.
2002-06-19,93,BHP Group Limited has filed a Base Prospectus in the amount of €1.54258 billion.
2002-06-19,93,"BHP Billiton Ltd. has filed a Shelf Registration in the amount of €1,542.58 million."
2002-06-19,93,BHP Billiton Limited has filed a Base Prospectus in the amount of €1.54258 billion.
2002-06-19,93,BHP Group Limited has filed a Base Prospectus in the amount of €1.54258 billion.
2002-06-19,93,BHP Group has filed a Base Prospectus in the amount of €1.54258 billion.
2002-06-19,93,BHP Group Limited has filed a Base Prospectus in the amount of €1.54258 billion.
2002-06-19,93,"BHP Billiton Ltd. has filed a Shelf Registration in the amount of €1,542.58 million."
2002-06-19,93,BHP Billiton Limited has filed a Base Prospectus in the amount of €1.54258 billion.
